#Organism/Name	Kingdom	Group	SubGroup	Size (Mb)	Chrs	Organelles	Plasmids	BioProjects
'Chrysanthemum coronarium' phytoplasma	Bacteria	Terrabacteria group	Tenericutes	0.739592	-	-	-	1
'Deinococcus soli' Cha et al. 2014	Bacteria	Terrabacteria group	Deinococcus-Thermus	3.23698	1	-	-	1
'Echinacea purpurea' witches'-broom phytoplasma	Bacteria	Terrabacteria group	Tenericutes	0.545427	-	-	-	1
Abaca bunchy top virus	Viruses	ssDNA viruses	Nanoviridae	0.006422	6	-	-	1
Abalone herpesvirus Victoria/AUS/2009	Viruses	dsDNA viruses, no RNA stage	unclassified	0.211518	1	-	-	1
Abalone shriveling syndrome-associated virus	Viruses	dsDNA viruses, no RNA stage	unclassified	0.034952	1	-	-	1
Abelson murine leukemia virus	Viruses	Retro-transcribing viruses	Retroviridae	0.005894	1	-	-	1
Abiotrophia defectiva	Bacteria	Terrabacteria group	Firmicutes	2.04344	-	-	-	1
Absidia glauca	Eukaryota	Fungi	Other Fungi	48.7464	-	-	-	1
Abutilon Brazil virus	Viruses	ssDNA viruses	Geminiviridae	0.005271	2	-	-	1
Abutilon mosaic Bolivia virus	Viruses	ssDNA viruses	Geminiviridae	0.005399	2	-	-	1
Abutilon mosaic Brazil virus	Viruses	ssDNA viruses	Geminiviridae	0.005282	2	-	-	1
Abutilon mosaic virus	Viruses	ssDNA viruses	Geminiviridae	0.005217	2	-	-	1
Acanthamoeba castellanii	Eukaryota	Protists	Other Protists	42.0198	-	-	-	3
Acanthamoeba divionensis	Eukaryota	Protists	Other Protists	84.7694	-	-	-	1
Acanthamoeba healyi	Eukaryota	Protists	Other Protists	75.3182	-	-	-	1
Acanthamoeba lugdunensis	Eukaryota	Protists	Other Protists	99.4171	-	-	-	1
Acanthamoeba mauritaniensis	Eukaryota	Protists	Other Protists	106.836	-	-	-	1
Acanthamoeba palestinensis	Eukaryota	Protists	Other Protists	103.483	-	-	-	1
Acanthamoeba pearcei	Eukaryota	Protists	Other Protists	115.614	-	-	-	1
Acanthamoeba polyphaga	Eukaryota	Protists	Other Protists	120.415	-	-	-	2
Acanthamoeba polyphaga mimivirus	Viruses	dsDNA viruses, no RNA stage	Mimiviridae	1.18155	1	-	-	1
Acanthamoeba quina	Eukaryota	Protists	Other Protists	83.589	-	-	-	1
Acanthamoeba rhysodes	Eukaryota	Protists	Other Protists	75.8213	-	-	-	1
Acanthamoeba royreba	Eukaryota	Protists	Other Protists	79.5441	-	-	-	1
Acanthaster planci	Eukaryota	Animals	Other Animals	2.58492	-	-	-	1
Acanthisitta chloris	Eukaryota	Animals	Birds	1035.88	-	-	-	1
Acanthocystis turfacea Chlorella virus 1	Viruses	dsDNA viruses, no RNA stage	Phycodnaviridae	0.288047	1	-	-	1
Acaricomes phytoseiuli	Bacteria	Terrabacteria group	Actinobacteria	2.41952	-	-	-	1
Acartia tonsa copepod circovirus	Viruses	ssDNA viruses	Circoviridae	0.00167	1	-	-	1
Acaryochloris	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	7.87548	-	-	-	1
Acaryochloris marina	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	8.3616	1	-	9	1
Acetivibrio cellulolyticus	Bacteria	Terrabacteria group	Firmicutes	6.15674	-	-	-	1
Acetivibrio ethanolgignens	Bacteria	Terrabacteria group	Firmicutes	3.66025	-	-	-	1
Acetobacter	Bacteria	Proteobacteria	Alphaproteobacteria	3.1064	1	-	3	3
Acetobacter aceti	Bacteria	Proteobacteria	Alphaproteobacteria	3.69077	-	-	-	4
Acetobacter cerevisiae	Bacteria	Proteobacteria	Alphaproteobacteria	3.32358	-	-	-	3
Acetobacter cibinongensis	Bacteria	Proteobacteria	Alphaproteobacteria	3.10509	-	-	-	1
Acetobacter ghanensis	Bacteria	Proteobacteria	Alphaproteobacteria	2.84394	1	-	2	1
Acetobacter indonesiensis	Bacteria	Proteobacteria	Alphaproteobacteria	3.41677	-	-	-	1
Acetobacter malorum	Bacteria	Proteobacteria	Alphaproteobacteria	3.83348	-	-	-	6
